rw_mix,size,latency_ns,bandwidth_MBps
allreads,8,1.39,49001.0
allreads,8,1.59,42481.9
allreads,8,1.51,43574.1
allreads,8,1.62,40171.1
allreads,16,1.62,1124902.5
allreads,16,1.83,1073000.1
allreads,16,1.70,804951.1
allreads,16,1.52,372188.9
allreads,16,1.55,169102.8
allreads,16,1.48,119918.4
allreads,16,1.56,85570.3
allreads,16,1.51,74047.9
allreads,16,1.54,66373.0
allreads,16,1.43,64551.2
allreads,16,1.58,55325.0
allreads,16,1.43,55315.8
allreads,16,1.41,53380.2
allreads,16,1.59,46553.3
allreads,16,1.47,47954.2
allreads,16,1.42,48075.5
allreads,16,1.45,46171.3
allreads,16,1.42,46241.6
allreads,16,1.76,36813.7
allreads,32,3.43,807382.4
allreads,32,3.60,760601.9
allreads,32,3.73,663695.9
allreads,32,3.02,339559.5
allreads,32,1.52,169984.6
allreads,32,1.60,114740.1
allreads,32,1.59,85298.8
allreads,32,1.41,76459.4
allreads,32,1.41,69596.1
allreads,32,1.49,62862.2
allreads,32,1.31,63200.9
allreads,32,1.61,50125.8
allreads,32,1.43,52977.0
allreads,32,1.51,48612.1
allreads,32,1.50,47064.7
allreads,32,1.39,49187.4
allreads,32,1.41,47552.7
allreads,32,1.52,43220.1
allreads,32,1.54,42127.1
allreads,64,6.06,707770.3
allreads,64,6.57,709438.2
allreads,64,6.29,661286.8
allreads,64,5.31,307369.4
allreads,64,5.16,137485.5
allreads,64,5.23,89359.4
allreads,64,4.69,59309.8
allreads,64,3.88,48088.6
allreads,64,4.04,37635.0
allreads,64,3.52,38405.9
allreads,64,3.44,33864.1
allreads,64,3.97,27916.7
allreads,64,4.56,23405.0
allreads,64,3.98,22869.5
allreads,64,4.43,19187.1
allreads,64,4.37,18102.3
allreads,64,4.51,16558.4
allreads,64,5.28,13476.1
allreads,64,5.39,12461.5
allreads,128,4.90,756804.3
allreads,128,5.18,760923.9
allreads,128,6.07,704068.1
allreads,128,5.62,328247.7
allreads,128,4.11,147554.5
allreads,128,4.62,93825.8
allreads,128,5.61,59509.0
allreads,128,4.96,46621.8
allreads,128,4.50,40045.7
allreads,128,4.95,33986.1
allreads,128,4.66,29228.9
allreads,128,4.77,24411.0
allreads,128,5.36,20538.1
allreads,128,4.99,19118.1
allreads,128,3.92,20733.9
allreads,128,5.14,15656.0
allreads,128,4.96,15048.1
allreads,128,5.64,12599.6
allreads,128,4.58,14524.8
allreads,256,5.49,700288.8
allreads,256,7.21,720688.6
allreads,256,5.44,675459.8
allreads,256,6.59,316735.9
allreads,256,4.95,141177.7
allreads,256,4.73,90907.2
allreads,256,4.99,59665.1
allreads,256,4.60,46880.8
allreads,256,4.73,38638.9
allreads,256,4.81,32917.0
allreads,256,4.74,28153.4
allreads,256,5.00,23544.7
allreads,256,5.21,20555.6
allreads,256,6.06,16945.7
allreads,256,5.15,16782.7
allreads,256,4.70,16745.4
allreads,256,4.87,15343.7
allreads,256,4.93,14209.2
allreads,256,5.50,12170.4
allreads,512,9.50,644454.4
allreads,512,9.76,643096.2
allreads,512,9.03,613021.1
allreads,512,9.76,289445.7
allreads,512,6.44,120636.6
allreads,512,6.45,85562.0
allreads,512,6.07,55555.7
allreads,512,6.56,41759.7
allreads,512,5.90,35057.2
allreads,512,6.99,29754.3
allreads,512,5.40,26579.6
allreads,512,6.29,20837.9
allreads,512,5.79,19239.5
allreads,512,6.53,15905.1
allreads,512,5.77,15337.6
allreads,512,6.14,13570.4
allreads,512,6.14,12563.4
allreads,512,5.77,12318.2
allreads,512,5.53,12116.4
allreads,1024,22.31,401431.2
allreads,1024,23.79,397636.3
allreads,1024,20.45,384118.9
allreads,1024,18.53,273166.1
allreads,1024,18.37,123752.9
allreads,1024,12.52,75047.3
allreads,1024,9.28,48412.3
allreads,1024,8.84,33412.2
allreads,1024,9.14,30209.6
allreads,1024,9.70,25962.1
allreads,1024,9.77,20721.6
allreads,1024,7.58,20758.6
allreads,1024,7.68,18077.0
allreads,1024,7.72,15731.0
allreads,1024,6.91,14479.5
allreads,1024,7.03,12790.6
allreads,1024,7.23,11519.4
allreads,1024,7.20,10371.9
allreads,1024,7.18,9576.4
allreads,2048,150.58,237653.2
allreads,2048,157.13,232230.1
allreads,2048,158.35,221367.5
allreads,2048,154.22,206656.8
allreads,2048,137.48,125958.9
allreads,2048,115.88,81097.8
allreads,2048,92.29,49249.8
allreads,2048,91.32,35853.6
allreads,2048,36.73,28977.0
allreads,2048,22.14,25362.9
allreads,2048,18.57,19882.2
allreads,2048,19.95,14479.1
allreads,2048,20.20,11872.8
allreads,2048,14.00,13131.6
allreads,2048,13.17,10919.3
allreads,2048,12.81,9301.0
allreads,2048,12.82,7988.9
allreads,2048,12.76,6667.3
allreads,2048,12.74,5740.6
allreads,4096,186.36,134470.5
allreads,4096,186.92,135133.5
allreads,4096,184.56,131513.4
allreads,4096,178.95,121108.7
allreads,4096,167.37,86769.8
allreads,4096,164.39,69921.7
allreads,4096,143.10,51768.4
allreads,4096,117.55,36732.7
allreads,4096,104.85,29269.2
allreads,4096,97.88,24259.5
allreads,4096,20.25,20553.0
allreads,4096,19.36,16012.8
allreads,4096,101.14,5884.3
allreads,4096,28.71,6515.9
allreads,4096,28.73,5222.7
allreads,4096,27.46,4568.3
allreads,4096,27.62,3903.5
allreads,4096,30.62,2991.7
allreads,4096,28.71,2621.3
allreads,8192,241.13,54254.7
allreads,8192,238.50,54817.5
allreads,8192,238.21,55540.8
allreads,8192,228.08,54741.0
allreads,8192,192.45,59126.7
allreads,8192,167.85,51614.8
allreads,8192,126.05,32738.3
allreads,8192,112.78,23283.7
allreads,8192,105.28,18082.1
allreads,8192,112.21,15054.4
allreads,8192,109.40,11210.6
allreads,8192,66.85,8665.2
allreads,8192,44.13,7403.9
allreads,8192,33.60,6532.1
allreads,8192,33.62,5087.4
allreads,8192,29.52,4448.0
allreads,8192,30.87,3685.3
allreads,8192,33.90,2779.8
allreads,8192,30.48,2495.6
allreads,16384,237.32,55352.2
allreads,16384,237.03,54829.2
allreads,16384,233.10,55378.1
allreads,16384,226.56,55109.9
allreads,16384,188.03,59146.7
allreads,16384,168.07,51782.2
allreads,16384,123.82,32664.9
allreads,16384,112.00,23259.5
allreads,16384,110.07,18325.8
allreads,16384,111.23,15134.6
allreads,16384,107.53,11133.7
allreads,16384,115.83,8229.3
allreads,16384,117.42,6447.0
allreads,16384,117.75,5182.5
allreads,16384,111.59,3711.4
allreads,16384,108.35,2862.3
allreads,16384,93.21,2300.9
allreads,16384,77.54,1725.8
allreads,16384,64.37,1390.3
allreads,32768,234.26,54005.3
allreads,32768,238.66,55094.0
allreads,32768,235.66,55635.3
allreads,32768,226.10,54432.8
allreads,32768,193.63,59528.8
allreads,32768,167.94,51730.4
allreads,32768,125.26,32778.2
allreads,32768,106.98,23185.7
allreads,32768,104.27,18250.7
allreads,32768,107.36,15128.6
allreads,32768,117.71,11238.3
allreads,32768,114.50,8228.9
allreads,32768,114.70,6519.7
allreads,32768,119.38,5164.6
allreads,32768,115.96,3723.8
allreads,32768,121.53,2820.9
allreads,32768,117.18,2152.2
allreads,32768,126.80,1403.6
allreads,32768,129.18,887.6
allreads,65536,238.37,53852.6
allreads,65536,237.49,53822.3
allreads,65536,238.86,54492.9
allreads,65536,224.22,54009.9
allreads,65536,193.50,57447.3
allreads,65536,169.16,51322.4
allreads,65536,123.21,32194.3
allreads,65536,115.83,23260.8
allreads,65536,117.29,18203.8
allreads,65536,116.48,14917.3
allreads,65536,121.26,11211.2
allreads,65536,121.03,7994.4
allreads,65536,120.20,6507.5
allreads,65536,118.92,5071.8
allreads,65536,122.26,3694.9
allreads,65536,122.23,2723.8
allreads,65536,125.03,2115.8
allreads,65536,125.70,1404.6
allreads,65536,133.49,863.0
allreads,131072,241.22,55250.4
allreads,131072,241.91,55000.8
allreads,131072,239.15,54936.4
allreads,131072,232.99,54218.7
allreads,131072,197.63,59530.7
allreads,131072,172.51,52086.8
allreads,131072,147.13,42372.0
allreads,131072,157.67,22602.3
allreads,131072,120.50,17425.8
allreads,131072,109.23,14916.2
allreads,131072,119.48,11263.3
allreads,131072,119.94,8179.6
allreads,131072,119.85,6500.6
allreads,131072,115.90,5112.6
allreads,131072,117.76,3592.8
allreads,131072,121.92,2800.1
allreads,131072,124.29,2121.7
allreads,131072,128.33,1397.4
allreads,131072,144.15,836.5
allreads,262144,256.82,50241.4
allreads,262144,260.95,51220.3
allreads,262144,262.67,51125.2
allreads,262144,250.63,50353.2
allreads,262144,210.24,54780.9
allreads,262144,182.96,48085.3
allreads,262144,128.04,29970.6
allreads,262144,121.26,21403.0
allreads,262144,118.91,16903.1
allreads,262144,117.81,13918.2
allreads,262144,120.79,10367.4
allreads,262144,128.20,7596.9
allreads,262144,129.76,6020.8
allreads,262144,127.10,4754.7
allreads,262144,129.87,3411.9
allreads,262144,131.84,2598.5
allreads,262144,134.94,1969.8
allreads,262144,137.52,1298.1
allreads,262144,149.78,790.5
allreads,524288,241.10,54968.8
allreads,524288,240.11,54877.8
allreads,524288,234.98,55006.1
allreads,524288,236.21,55115.8
allreads,524288,187.26,59147.9
allreads,524288,168.18,51174.3
allreads,524288,117.59,32369.5
allreads,524288,110.58,21474.1
allreads,524288,110.73,18243.5
allreads,524288,112.02,15103.8
allreads,524288,114.09,11234.7
allreads,524288,114.92,8150.6
allreads,524288,116.49,6483.8
allreads,524288,119.53,5129.3
allreads,524288,120.73,3701.4
allreads,524288,123.27,2806.9
allreads,524288,123.78,2132.3
allreads,524288,131.74,1384.8
allreads,524288,148.32,826.4
allwrites,1,2.42,490282.9
allwrites,1,2.32,463262.7
allwrites,1,2.61,306732.3
allwrites,1,2.32,234146.7
allwrites,1,2.36,114865.9
allwrites,1,2.29,76906.5
allwrites,1,2.16,59524.7
allwrites,1,2.14,51146.4
allwrites,1,2.05,48242.0
allwrites,1,2.00,46454.0
allwrites,1,1.96,43319.9
allwrites,1,1.96,40273.0
allwrites,1,2.11,35973.6
allwrites,1,2.10,34744.1
allwrites,1,2.00,35124.7
allwrites,1,2.06,33212.6
allwrites,1,2.12,31713.9
allwrites,1,2.02,32574.1
allwrites,1,2.15,30193.5
allwrites,2,2.01,734326.9
allwrites,2,2.11,612397.7
allwrites,2,2.15,410390.1
allwrites,2,2.05,266578.9
allwrites,2,2.15,126475.6
allwrites,2,2.00,85969.5
allwrites,2,2.06,62425.0
allwrites,2,2.12,51954.5
allwrites,2,2.14,45936.8
allwrites,2,2.00,46398.2
allwrites,2,2.00,42560.5
allwrites,2,2.07,38414.8
allwrites,2,2.01,37765.8
allwrites,2,1.97,37099.7
allwrites,2,2.01,34828.7
allwrites,2,2.31,29763.1
allwrites,2,2.06,32676.0
allwrites,2,2.04,32221.0
allwrites,2,2.02,32096.5
allwrites,4,2.25,798897.0
allwrites,4,2.11,724859.5
allwrites,4,2.15,517611.3
allwrites,4,2.07,295540.5
allwrites,4,2.16,134268.6
allwrites,4,2.18,78982.6
allwrites,4,2.02,63773.4
allwrites,4,2.24,49657.8
allwrites,4,2.04,48806.0
allwrites,4,2.07,44916.6
allwrites,4,1.98,42911.7
allwrites,4,2.06,38604.7
