kernel,variant,layoutB,pattern,m,k,n,density,threads,tileM,tileN,tileK,jblock,seed,run,seconds,gflops,nnz,cpnz,ai,bytes_est,bandwidth_GBps,p50_us,p95_us,p99_us,conv_seconds,freq_mhz,cycles_est,perf_task_clock_ms,perf_context_switches,perf_cpu_migrations,perf_page_faults
gemm,scalar,row,uniform,1536,1536,1536,1,4,64,128,64,128,100,2,0.0553596,130.921,0,0,192,3.77487e+07,0.681882,55359.6,71344.2,74846.1,0,2400,1.32863e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,4,64,128,64,128,100,2,0.0694875,104.303,0,0,192,3.77487e+07,0.543245,69487.5,77601.9,78324.3,0,2400,1.6677e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,4,64,128,64,128,100,3,0.0538538,134.582,0,0,192,3.77487e+07,0.700949,53853.8,69935.6,70393.5,0,2400,1.29249e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,4,64,128,64,128,100,3,0.0638769,113.464,0,0,192,3.77487e+07,0.590961,63876.9,78385.1,78522.5,0,2400,1.53305e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,8,64,128,64,128,100,1,0.042103,172.144,0,0,192,3.77487e+07,0.896581,42103,49545.4,51676.9,0,2400,1.01047e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,8,64,128,64,128,100,1,0.0484025,149.739,0,0,192,3.77487e+07,0.779892,48402.5,54592.8,55017.2,0,2400,1.16166e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,8,64,128,64,128,100,2,0.0422512,171.54,0,0,192,3.77487e+07,0.893436,42251.2,46447.8,48051.9,0,2400,1.01403e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,8,64,128,64,128,100,2,0.0519945,139.395,0,0,192,3.77487e+07,0.726015,51994.5,54299.6,54436.5,0,2400,1.24787e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,8,64,128,64,128,100,3,0.0427463,169.553,0,0,192,3.77487e+07,0.883088,42746.3,48600.9,49112,0,2400,1.02591e+08,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,8,64,128,64,128,100,3,0.048169,150.465,0,0,192,3.77487e+07,0.783673,48169,55631.9,56242.4,0,2400,1.15606e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,12,64,128,64,128,100,1,0.0390602,185.553,0,0,192,3.77487e+07,0.966424,39060.2,41584.2,42039.9,0,2400,9.37446e+07,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,12,64,128,64,128,100,1,0.0425674,170.265,0,0,192,3.77487e+07,0.886799,42567.4,45011.8,45457.8,0,2400,1.02162e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,12,64,128,64,128,100,2,0.0380923,190.268,0,0,192,3.77487e+07,0.990981,38092.3,40999.8,42527.2,0,2400,9.14215e+07,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,12,64,128,64,128,100,2,0.0445177,162.806,0,0,192,3.77487e+07,0.847949,44517.7,59316.2,63498.8,0,2400,1.06842e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,12,64,128,64,128,100,3,0.0374529,193.517,0,0,192,3.77487e+07,1.0079,37452.9,40967.7,41464.3,0,2400,8.9887e+07,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,12,64,128,64,128,100,3,0.0424721,170.647,0,0,192,3.77487e+07,0.888788,42472.1,46975.1,47187.8,0,2400,1.01933e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,16,64,128,64,128,100,1,0.0384614,188.442,0,0,192,3.77487e+07,0.981471,38461.4,49540.4,54014.7,0,2400,9.23073e+07,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,16,64,128,64,128,100,1,0.0422865,171.397,0,0,192,3.77487e+07,0.892691,42286.5,50725.1,59477.9,0,2400,1.01488e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,16,64,128,64,128,100,2,0.0383189,189.143,0,0,192,3.77487e+07,0.985122,38318.9,47630.9,50598.9,0,2400,9.19652e+07,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,16,64,128,64,128,100,2,0.0432283,167.662,0,0,192,3.77487e+07,0.873241,43228.3,47027.7,47156.3,0,2400,1.03748e+08,0,0,0,0
gemm,scalar,row,uniform,1536,1536,1536,1,16,64,128,64,128,100,3,0.0380666,190.397,0,0,192,3.77487e+07,0.99165,38066.6,43791.2,44435.1,0,2400,9.13598e+07,0,0,0,0
gemm,simd,row,uniform,1536,1536,1536,1,16,64,128,64,128,100,3,0.0418247,173.289,0,0,192,3.77487e+07,0.902546,41824.7,45414,46207,0,2400,1.00379e+08,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,1,64,128,64,128,200,1,0.00920066,4.64318,41719,529.293,0.453685,9.41629e+07,10.2344,9188.63,10658.6,11847.1,0.00238382,2400,2.20816e+07,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,1,64,128,64,128,200,1,0.00151336,28.2287,41719,87.0602,0.453685,9.41629e+07,62.2211,1508.58,1771.02,2850.72,0.00234229,2400,3.63206e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,1,64,128,64,128,200,2,0.00901421,4.73921,41719,518.567,0.453685,9.41629e+07,10.446,8982.17,9907.18,12197.3,0.0024556,2400,2.16341e+07,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,1,64,128,64,128,200,2,0.00157364,27.1474,41719,90.528,0.453685,9.41629e+07,59.8376,1542.42,1805.19,2601.7,0.00235441,2400,3.77674e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,1,64,128,64,128,200,3,0.00903017,4.73084,41719,519.485,0.453685,9.41629e+07,10.4276,9029.47,10197.8,17583.7,0.00232167,2400,2.16724e+07,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,1,64,128,64,128,200,3,0.00147958,28.8733,41719,85.1168,0.453685,9.41629e+07,63.6417,1477.31,1707.79,2413.61,0.00252557,2400,3.55099e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,2,64,128,64,128,200,1,0.00579657,7.36992,41719,333.463,0.453685,9.41629e+07,16.2446,5405.21,9063.41,9099.31,0.0022712,2400,1.39118e+07,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,2,64,128,64,128,200,1,0.000754374,56.6301,41719,43.3974,0.453685,9.41629e+07,124.823,754.171,1542.14,1972.06,0.00242729,2400,1.8105e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,2,64,128,64,128,200,2,0.00455425,9.3803,41719,261.996,0.453685,9.41629e+07,20.6758,4552.6,7416.99,8388.24,0.00230175,2400,1.09302e+07,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,2,64,128,64,128,200,2,0.00076323,55.973,41719,43.9069,0.453685,9.41629e+07,123.374,759.221,1723.42,2098.27,0.00235941,2400,1.83175e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,2,64,128,64,128,200,3,0.0047259,9.0396,41719,271.87,0.453685,9.41629e+07,19.9249,4709.91,5123.56,5469.77,0.00250704,2400,1.13422e+07,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,2,64,128,64,128,200,3,0.000772208,55.3222,41719,44.4234,0.453685,9.41629e+07,121.94,771.326,924.334,1862.87,0.00278458,2400,1.8533e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,4,64,128,64,128,200,1,0.00237641,17.9768,41719,136.71,0.453685,9.41629e+07,39.624,2375.13,3505.69,3515.96,0.00259749,2400,5.70338e+06,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,4,64,128,64,128,200,1,0.000436457,97.8796,41719,25.1084,0.453685,9.41629e+07,215.744,435.517,520.475,1685.52,0.00228671,2400,1.0475e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,4,64,128,64,128,200,2,0.00324681,13.1576,41719,186.781,0.453685,9.41629e+07,29.0017,3181.94,4770.36,5587.79,0.00238751,2400,7.79233e+06,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,4,64,128,64,128,200,2,0.0004833,88.3928,41719,27.8032,0.453685,9.41629e+07,194.833,475.882,958.159,2156.07,0.00259528,2400,1.15992e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,4,64,128,64,128,200,3,0.00243463,17.5469,41719,140.059,0.453685,9.41629e+07,38.6765,2434.48,3998.27,4331.68,0.00233959,2400,5.84311e+06,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,4,64,128,64,128,200,3,0.00044118,96.8318,41719,25.3801,0.453685,9.41629e+07,213.434,440.763,972.381,1648.39,0.00260506,2400,1.05883e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,8,64,128,64,128,200,1,0.00228208,18.7199,41719,131.283,0.453685,9.41629e+07,41.2619,2256.1,2558.33,3241.63,0.00254497,2400,5.47699e+06,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,8,64,128,64,128,200,1,0.000540164,79.0876,41719,31.0744,0.453685,9.41629e+07,174.323,536.966,1041.57,2068.59,0.00239079,2400,1.29639e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,8,64,128,64,128,200,2,0.00241529,17.6875,41719,138.946,0.453685,9.41629e+07,38.9862,2401.64,2755.63,3911.14,0.00257985,2400,5.79669e+06,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,8,64,128,64,128,200,2,0.000637656,66.9958,41719,36.6829,0.453685,9.41629e+07,147.67,636.976,872.413,2067.15,0.002567,2400,1.53037e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,8,64,128,64,128,200,3,0.0025697,16.6246,41719,147.829,0.453685,9.41629e+07,36.6436,2558.5,3711.79,4105.87,0.00263007,2400,6.16727e+06,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,8,64,128,64,128,200,3,0.000575411,74.243,41719,33.1021,0.453685,9.41629e+07,163.645,571.372,762.173,1964.87,0.00295335,2400,1.38099e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,12,64,128,64,128,200,1,0.00175809,24.2992,41719,101.139,0.453685,9.41629e+07,53.5597,1749.75,2976.88,3524.19,0.00263225,2400,4.21942e+06,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,12,64,128,64,128,200,1,0.00049508,86.2896,41719,28.4808,0.453685,9.41629e+07,190.197,492.86,661.554,1907.54,0.00271705,2400,1.18819e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,12,64,128,64,128,200,2,0.00181625,23.5212,41719,104.485,0.453685,9.41629e+07,51.8448,1793.76,3165.25,3602.19,0.00241663,2400,4.35899e+06,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,12,64,128,64,128,200,2,0.00044452,96.1042,41719,25.5722,0.453685,9.41629e+07,211.83,443.698,647.108,2084.75,0.00270407,2400,1.06685e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,12,64,128,64,128,200,3,0.00188114,22.7098,41719,108.218,0.453685,9.41629e+07,50.0564,1875.22,11181.8,13305.5,0.00315181,2400,4.51473e+06,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,12,64,128,64,128,200,3,0.000479908,89.0176,41719,27.608,0.453685,9.41629e+07,196.21,476.308,669.434,1977.68,0.00235856,2400,1.15178e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,16,64,128,64,128,200,1,0.00132312,32.2874,41719,76.1164,0.453685,9.41629e+07,71.167,1322.6,2985.94,3912.08,0.00223582,2400,3.1755e+06,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,16,64,128,64,128,200,1,0.000424728,100.583,41719,24.4336,0.453685,9.41629e+07,221.702,422.819,667.77,2227.51,0.00249758,2400,1.01935e+06,0,0,0,0
spmm_csr,scalar,row,uniform,2048,2048,512,0.01,16,64,128,64,128,200,2,0.001283,33.2971,41719,73.8082,0.453685,9.41629e+07,73.3927,1282.04,1865.77,3486.44,0.00272836,2400,3.0792e+06,0,0,0,0
spmm_csr,simd,row,uniform,2048,2048,512,0.01,16,64,128,64,128,200,2,0.000449438,95.0526,41719,25.8552,0.453685,9.41629e+07,209.512,443.031,1113.91,2069.99,0.00253772,2400,1.07865e+06,0,0,0,0
