mode,kernel,dtype,N,misaligned,tail_multiple,mean_GFLOPs,mean_CPE,count
Scalar,saxpy,f64,758688,0,0,6.08109388888889,1.2313269444444446,18.0
Scalar,saxpy,f64,758688,0,1,5.557006111111111,1.2849006111111112,18.0
Scalar,saxpy,f64,758688,1,0,5.815186611111112,1.2469110555555554,18.0
Scalar,saxpy,f64,758688,1,1,4.606370777777778,1.5756323888888888,18.0
Scalar,saxpy,f64,1056978,0,0,4.633113666666667,1.5667419444444444,18.0
Scalar,saxpy,f64,1056978,0,1,4.835524722222222,1.481012611111111,18.0
Scalar,saxpy,f64,1056978,1,0,4.288965833333334,1.6662979444444446,18.0
Scalar,saxpy,f64,1056978,1,1,5.311187777777778,1.3350094444444442,18.0
Scalar,saxpy,f64,1472547,0,0,3.352711277777778,2.1116308333333333,18.0
Scalar,saxpy,f64,1472547,0,1,3.3141669444444446,2.141281777777778,18.0
Scalar,saxpy,f64,1472547,1,0,3.3030154444444446,2.168423,18.0
Scalar,saxpy,f64,1472547,1,1,3.289398333333333,2.1600210555555552,18.0
Scalar,saxpy,f64,2051504,0,0,2.568000833333333,2.7637187222222224,18.0
Scalar,saxpy,f64,2051504,0,1,2.7711057222222224,2.542380777777778,18.0
Scalar,saxpy,f64,2051504,1,0,2.789381666666667,2.534080388888889,18.0
Scalar,saxpy,f64,2051504,1,1,2.4757725555555554,2.881854333333333,18.0
Scalar,saxpy,f64,2858088,0,0,2.660299611111111,2.654322333333334,18.0
Scalar,saxpy,f64,2858088,0,1,2.589237944444444,2.718954055555556,18.0
Scalar,saxpy,f64,2858088,1,0,2.555605611111111,2.783026111111111,18.0
Scalar,saxpy,f64,2858088,1,1,2.760372,2.5459731666666667,18.0
Scalar,saxpy,f64,3981793,0,0,2.734948388888889,2.5986568888888892,18.0
Scalar,saxpy,f64,3981793,0,1,2.4227041666666667,2.906337666666667,18.0
Scalar,saxpy,f64,3981793,1,0,2.6187964999999997,2.6827771111111107,18.0
Scalar,saxpy,f64,3981793,1,1,2.5779495555555556,2.724752944444445,18.0
Scalar,saxpy,f64,5547302,0,0,2.7645140555555554,2.535825277777777,18.0
Scalar,saxpy,f64,5547302,0,1,2.7099998333333333,2.5893938888888886,18.0
Scalar,saxpy,f64,5547302,1,0,2.7015239444444448,2.5980803333333338,18.0
Scalar,saxpy,f64,5547302,1,1,2.580664555555556,2.7299784999999996,18.0
Scalar,saxpy,f64,7728318,0,0,2.6945462777777776,2.6037535555555555,18.0
Scalar,saxpy,f64,7728318,0,1,2.592984611111111,2.7092069444444444,18.0
Scalar,saxpy,f64,7728318,1,0,2.7074104444444447,2.5877103888888886,18.0
Scalar,saxpy,f64,7728318,1,1,2.546492777777778,2.7556797222222222,18.0
Scalar,saxpy,f64,10766836,0,0,2.7014936666666665,2.5953932777777777,18.0
Scalar,saxpy,f64,10766836,0,1,2.538527,2.7687691111111112,18.0
Scalar,saxpy,f64,10766836,1,0,2.599580777777778,2.6982157222222223,18.0
Scalar,saxpy,f64,10766836,1,1,2.6920841666666666,2.601144,18.0
Scalar,saxpy,f64,15000000,0,0,2.6877744444444445,2.6106223333333336,18.0
Scalar,saxpy,f64,15000000,0,1,2.6094355555555553,2.685881222222222,18.0
Scalar,saxpy,f64,15000000,1,0,2.6999542222222224,2.5949673888888887,18.0
Scalar,saxpy,f64,15000000,1,1,2.696342388888889,2.5990518333333332,18.0
Scalar,saxpy,i32,1000,0,0,7.436512333333334,0.9413978888888889,18.0
Scalar,saxpy,i32,1000,0,1,7.1664313888888875,0.9778611111111112,18.0
Scalar,saxpy,i32,1000,1,0,7.299297833333333,0.9590395555555554,18.0
Scalar,saxpy,i32,1000,1,1,7.412970789473683,0.9444473684210525,19.0
Scalar,saxpy,i32,1393,0,0,7.618587,0.9188095263157894,19.0
Scalar,saxpy,i32,1393,0,1,7.165641789473684,0.976990105263158,19.0
Scalar,saxpy,i32,1393,1,0,7.460519105263158,0.9383387368421052,19.0
Scalar,saxpy,i32,1393,1,1,7.428294222222224,0.9423506666666667,18.0
