kernel,dtype,N,trial,GFLOPs,CPE
saxpy,f32,280578,3,7.380815,0.704529
saxpy,f32,280578,4,7.337195,0.708718
saxpy,f32,280578,5,7.093453,0.733070
saxpy,f32,280578,6,6.645225,0.782517
saxpy,f32,280578,7,3.230028,1.609893
saxpy,f32,280578,8,6.369245,0.816423
saxpy,f32,280578,9,7.324362,0.709959
saxpy,f32,390892,0,3.183873,1.633231
saxpy,f32,390892,1,3.112693,1.670579
saxpy,f32,390892,2,6.653651,0.781526
saxpy,f32,390892,3,2.901676,1.792068
saxpy,f32,390892,4,3.802821,1.367406
saxpy,f32,390892,5,3.737375,1.391351
saxpy,f32,390892,6,5.379001,0.966722
saxpy,f32,390892,7,2.154090,2.414012
saxpy,f32,390892,8,3.735910,1.391896
saxpy,f32,390892,9,6.616597,0.785902
saxpy,f32,544578,0,4.849034,1.072379
saxpy,f32,544578,1,5.626997,0.924116
saxpy,f32,544578,2,4.573845,1.136899
saxpy,f32,544578,3,6.203295,0.838264
saxpy,f32,544578,4,6.185294,0.840704
saxpy,f32,544578,5,4.565964,1.138861
saxpy,f32,544578,6,4.573058,1.137095
saxpy,f32,544578,7,4.539758,1.145436
saxpy,f32,544578,8,6.199800,0.838737
saxpy,f32,544578,9,3.652643,1.423627
saxpy,f32,758688,0,3.638748,1.429063
saxpy,f32,758688,1,5.422473,0.958972
saxpy,f32,758688,2,5.641957,0.921666
saxpy,f32,758688,3,5.686059,0.914517
saxpy,f32,758688,4,4.966032,1.047114
saxpy,f32,758688,5,6.458018,0.805201
saxpy,f32,758688,6,5.501427,0.945209
saxpy,f32,758688,7,5.916296,0.878928
saxpy,f32,758688,8,5.962044,0.872184
saxpy,f32,758688,9,6.577953,0.790519
saxpy,f32,1056978,0,3.155121,1.648115
saxpy,f32,1056978,1,4.539172,1.145583
saxpy,f32,1056978,2,5.306114,0.980001
saxpy,f32,1056978,3,5.922706,0.877977
saxpy,f32,1056978,4,6.100355,0.852409
saxpy,f32,1056978,5,6.925327,0.750867
saxpy,f32,1056978,6,7.442590,0.698682
saxpy,f32,1056978,7,5.949828,0.873975
saxpy,f32,1056978,8,6.822558,0.762177
saxpy,f32,1056978,9,6.977282,0.745276
saxpy,f32,1472547,0,3.519846,1.477337
saxpy,f32,1472547,1,6.188745,0.840235
saxpy,f32,1472547,2,6.561451,0.792508
saxpy,f32,1472547,3,4.121768,1.261595
saxpy,f32,1472547,4,4.582884,1.134657
saxpy,f32,1472547,5,5.046988,1.030318
saxpy,f32,1472547,6,5.755228,0.903526
saxpy,f32,1472547,7,5.153523,1.009019
saxpy,f32,1472547,8,5.424775,0.958565
saxpy,f32,1472547,9,5.662390,0.918340
saxpy,f32,2051504,0,3.643727,1.427110
saxpy,f32,2051504,1,3.595408,1.446289
saxpy,f32,2051504,2,4.434821,1.172539
saxpy,f32,2051504,3,4.274261,1.216585
saxpy,f32,2051504,4,3.874180,1.342220
saxpy,f32,2051504,5,4.390446,1.184390
saxpy,f32,2051504,6,3.352290,1.551179
saxpy,f32,2051504,7,4.466224,1.164295
saxpy,f32,2051504,8,4.647800,1.118809
saxpy,f32,2051504,9,5.420512,0.959319
saxpy,f32,2858088,0,2.731075,1.904012
saxpy,f32,2858088,1,3.669277,1.417173
saxpy,f32,2858088,2,4.662928,1.115179
saxpy,f32,2858088,3,5.535235,0.939436
saxpy,f32,2858088,4,5.404647,0.962135
saxpy,f32,2858088,5,5.837187,0.890840
saxpy,f32,2858088,6,4.233392,1.228329
saxpy,f32,2858088,7,4.200541,1.237936
saxpy,f32,2858088,8,4.628850,1.123389
saxpy,f32,2858088,9,3.898014,1.334013
saxpy,f32,3981793,0,2.451315,2.121311
saxpy,f32,3981793,1,3.949864,1.316501
saxpy,f32,3981793,2,4.545530,1.143981
saxpy,f32,3981793,3,3.192803,1.628663
saxpy,f32,3981793,4,3.327545,1.562714
saxpy,f32,3981793,5,3.960322,1.313025
saxpy,f32,3981793,6,4.515429,1.151607
saxpy,f32,3981793,7,4.093900,1.270182
saxpy,f32,3981793,8,3.432955,1.514730
