kernel,dtype,N,trial,misaligned,tail_multiple,GFLOPs,CPE
saxpy,f32,19771,12,0,0,3.800865,1.841686
saxpy,f32,19771,13,0,0,3.958363,1.768408
saxpy,f32,19771,14,0,0,3.822910,1.831066
saxpy,f32,19771,15,0,0,3.983080,1.757434
saxpy,f32,19771,16,0,0,3.561599,1.965409
saxpy,f32,19771,17,0,0,3.679568,1.902397
saxpy,f32,19771,18,0,0,2.986332,2.344012
saxpy,f32,19771,19,0,0,2.965507,2.360473
saxpy,f32,27544,0,0,0,3.886154,1.801267
saxpy,f32,27544,1,0,0,3.739496,1.871910
saxpy,f32,27544,2,0,0,3.767369,1.858061
saxpy,f32,27544,3,0,0,3.643542,1.921207
saxpy,f32,27544,4,0,0,3.631773,1.927433
saxpy,f32,27544,5,0,0,3.739750,1.871783
saxpy,f32,27544,6,0,0,3.638249,1.924003
saxpy,f32,27544,7,0,0,3.843857,1.821088
saxpy,f32,27544,8,0,0,3.976758,1.760228
saxpy,f32,27544,9,0,0,3.619129,1.934167
saxpy,f32,27544,10,0,0,4.592698,1.524159
saxpy,f32,27544,11,0,0,4.093773,1.709914
saxpy,f32,27544,12,0,0,4.458165,1.570153
saxpy,f32,27544,13,0,0,4.263581,1.641812
saxpy,f32,27544,14,0,0,4.574774,1.530130
saxpy,f32,27544,15,0,0,4.222410,1.657821
saxpy,f32,27544,16,0,0,4.607292,1.519331
saxpy,f32,27544,17,0,0,4.272177,1.638509
saxpy,f32,27544,18,0,0,4.518494,1.549189
saxpy,f32,27544,19,0,0,4.502983,1.554525
saxpy,f32,38374,0,0,0,3.733353,1.874990
saxpy,f32,38374,1,0,0,4.918867,1.423092
saxpy,f32,38374,2,0,0,5.008091,1.397738
saxpy,f32,38374,3,0,0,4.945490,1.415431
saxpy,f32,38374,4,0,0,4.987264,1.403575
saxpy,f32,38374,5,0,0,4.967253,1.409229
saxpy,f32,38374,6,0,0,4.979499,1.405764
saxpy,f32,38374,7,0,0,4.559734,1.535177
saxpy,f32,38374,8,0,0,4.930558,1.419718
saxpy,f32,38374,9,0,0,5.347965,1.308909
saxpy,f32,38374,10,0,0,6.441796,1.086653
saxpy,f32,38374,11,0,0,5.936577,1.179131
saxpy,f32,38374,12,0,0,6.067030,1.153777
saxpy,f32,38374,13,0,0,6.375446,1.097962
saxpy,f32,38374,14,0,0,6.323447,1.106991
saxpy,f32,38374,15,0,0,6.437474,1.087383
saxpy,f32,38374,16,0,0,6.494669,1.077807
saxpy,f32,38374,17,0,0,6.383931,1.096503
saxpy,f32,38374,18,0,0,6.399366,1.093858
saxpy,f32,38374,19,0,0,6.346453,1.102978
saxpy,f32,53461,0,0,0,6.368173,1.099216
saxpy,f32,53461,1,0,0,5.609191,1.247952
saxpy,f32,53461,2,0,0,6.803767,1.028842
saxpy,f32,53461,3,0,0,7.008915,0.998728
saxpy,f32,53461,4,0,0,6.751357,1.036829
saxpy,f32,53461,5,0,0,6.973262,1.003834
saxpy,f32,53461,6,0,0,6.592355,1.061836
saxpy,f32,53461,7,0,0,6.192622,1.130377
saxpy,f32,53461,8,0,0,6.571288,1.065240
saxpy,f32,53461,9,0,0,6.005504,1.165597
saxpy,f32,53461,10,0,0,6.068558,1.153486
saxpy,f32,53461,11,0,0,6.480878,1.080101
saxpy,f32,53461,12,0,0,6.911959,1.012738
saxpy,f32,53461,13,0,0,6.711945,1.042917
saxpy,f32,53461,14,0,0,6.580995,1.063669
saxpy,f32,53461,15,0,0,7.275993,0.962068
saxpy,f32,53461,16,0,0,7.400374,0.945898
saxpy,f32,53461,17,0,0,7.409604,0.944720
saxpy,f32,53461,18,0,0,7.292369,0.959908
saxpy,f32,53461,19,0,0,6.910618,1.012934
saxpy,f32,74480,0,0,0,7.322355,0.955977
saxpy,f32,74480,1,0,0,6.868274,1.019179
saxpy,f32,74480,2,0,0,7.323435,0.955836
saxpy,f32,74480,3,0,0,7.028356,0.995966
saxpy,f32,74480,4,0,0,7.605739,0.920358
saxpy,f32,74480,5,0,0,7.630282,0.917397
saxpy,f32,74480,6,0,0,7.735279,0.904945
saxpy,f32,74480,7,0,0,7.038651,0.994509
saxpy,f32,74480,8,0,0,7.203733,0.971718
saxpy,f32,74480,9,0,0,7.265925,0.963401
saxpy,f32,74480,10,0,0,7.242962,0.966455
saxpy,f32,74480,11,0,0,7.191561,0.973363
saxpy,f32,74480,12,0,0,7.237683,0.967160
saxpy,f32,74480,13,0,0,7.226098,0.968711
saxpy,f32,74480,14,0,0,7.259552,0.964247
saxpy,f32,74480,15,0,0,7.243314,0.966408
saxpy,f32,74480,16,0,0,7.204430,0.971624
saxpy,f32,74480,17,0,0,7.228201,0.968429
saxpy,f32,74480,18,0,0,7.867646,0.889720
saxpy,f32,74480,19,0,0,7.252483,0.965187
saxpy,f32,103763,0,0,0,7.782353,0.899471
saxpy,f32,103763,1,0,0,7.868810,0.889588
saxpy,f32,103763,2,0,0,7.847090,0.892050
saxpy,f32,103763,3,0,0,7.883457,0.887935
saxpy,f32,103763,4,0,0,7.867020,0.889790
saxpy,f32,103763,5,0,0,7.236880,0.967268
saxpy,f32,103763,6,0,0,7.260425,0.964131
saxpy,f32,103763,7,0,0,7.875379,0.888846
saxpy,f32,103763,8,0,0,7.877472,0.888610
saxpy,f32,103763,9,0,0,7.248001,0.965784
saxpy,f32,103763,10,0,0,7.236627,0.967301
saxpy,f32,103763,11,0,0,4.603638,1.520537
saxpy,f32,103763,12,0,0,7.278760,0.961702
saxpy,f32,103763,13,0,0,7.868810,0.889588
saxpy,f32,103763,14,0,0,7.861954,0.890364
saxpy,f32,103763,15,0,0,7.874782,0.888914
saxpy,f32,103763,16,0,0,7.878369,0.888509
saxpy,f32,103763,17,0,0,7.246482,0.965986
saxpy,f32,103763,18,0,0,7.876276,0.888745
saxpy,f32,103763,19,0,0,7.246229,0.966020
saxpy,f32,144560,0,0,0,5.566324,1.257562
saxpy,f32,144560,1,0,0,7.106277,0.985045
saxpy,f32,144560,2,0,0,7.082429,0.988361
saxpy,f32,144560,3,0,0,7.125015,0.982454
saxpy,f32,144560,4,0,0,6.738277,1.038841
saxpy,f32,144560,5,0,0,7.265385,0.963473
saxpy,f32,144560,6,0,0,5.729238,1.221803
saxpy,f32,144560,7,0,0,6.118551,1.144062
saxpy,f32,144560,8,0,0,6.509941,1.075279
saxpy,f32,144560,9,0,0,6.873805,1.018359
saxpy,f32,144560,10,0,0,6.916228,1.012112
saxpy,f32,144560,11,0,0,6.490213,1.078547
saxpy,f32,144560,12,0,0,6.398858,1.093945
saxpy,f32,144560,13,0,0,6.604066,1.059953
saxpy,f32,144560,14,0,0,6.977147,1.003275
saxpy,f32,144560,15,0,0,6.769515,1.034047
saxpy,f32,144560,16,0,0,6.749446,1.037122
saxpy,f32,144560,17,0,0,6.758123,1.035791
saxpy,f32,144560,18,0,0,7.248446,0.965724
saxpy,f32,144560,19,0,0,5.551894,1.260831
saxpy,f32,201396,0,0,0,6.441161,1.086761
saxpy,f32,201396,1,0,0,8.240885,0.849423
saxpy,f32,201396,2,0,0,8.533675,0.820280
saxpy,f32,201396,3,0,0,8.299637,0.843410
saxpy,f32,201396,4,0,0,8.623378,0.811747
saxpy,f32,201396,5,0,0,8.739569,0.800955
saxpy,f32,201396,6,0,0,9.384637,0.745900
saxpy,f32,201396,7,0,0,9.180163,0.762514
saxpy,f32,201396,8,0,0,9.339161,0.749532
saxpy,f32,201396,9,0,0,9.003889,0.777442
saxpy,f32,201396,10,0,0,9.484518,0.738045
saxpy,f32,201396,11,0,0,9.583127,0.730450
saxpy,f32,201396,12,0,0,9.313033,0.751635
saxpy,f32,201396,13,0,0,9.093737,0.769761
saxpy,f32,201396,14,0,0,9.268033,0.755284
saxpy,f32,201396,15,0,0,8.776703,0.797566
saxpy,f32,201396,16,0,0,8.717628,0.802971
saxpy,f32,201396,17,0,0,9.139544,0.765903
saxpy,f32,201396,18,0,0,7.352878,0.952008
saxpy,f32,201396,19,0,0,9.735770,0.718998
saxpy,f32,280578,0,0,0,7.845786,0.892199
saxpy,f32,280578,1,0,0,8.282712,0.845134
saxpy,f32,280578,2,0,0,8.474463,0.826011
saxpy,f32,280578,3,0,0,8.492161,0.824290
saxpy,f32,280578,4,0,0,8.612063,0.812813
saxpy,f32,280578,5,0,0,8.569190,0.816880
saxpy,f32,280578,6,0,0,8.476767,0.825786
saxpy,f32,280578,7,0,0,8.061746,0.868298
saxpy,f32,280578,8,0,0,8.158084,0.858045
saxpy,f32,280578,9,0,0,6.410862,1.091897
saxpy,f32,280578,10,0,0,8.684298,0.806052
saxpy,f32,280578,11,0,0,8.874933,0.788738
saxpy,f32,280578,12,0,0,8.363569,0.836963
saxpy,f32,280578,13,0,0,8.381056,0.835217
saxpy,f32,280578,14,0,0,8.794264,0.795973
saxpy,f32,280578,15,0,0,8.962245,0.781054
saxpy,f32,280578,16,0,0,8.946385,0.782439
saxpy,f32,280578,17,0,0,8.900693,0.786456
saxpy,f32,280578,18,0,0,9.026541,0.775491
saxpy,f32,280578,19,0,0,8.584397,0.815433
saxpy,f32,390892,0,0,0,7.822907,0.894808
saxpy,f32,390892,1,0,0,8.293534,0.844031
saxpy,f32,390892,2,0,0,8.384976,0.834826
saxpy,f32,390892,3,0,0,8.504373,0.823106
saxpy,f32,390892,4,0,0,8.670948,0.807294
saxpy,f32,390892,5,0,0,7.359340,0.951172
saxpy,f32,390892,6,0,0,9.047344,0.773708
saxpy,f32,390892,7,0,0,9.599700,0.729189
saxpy,f32,390892,8,0,0,8.740944,0.800829
saxpy,f32,390892,9,0,0,9.380392,0.746237
saxpy,f32,390892,10,0,0,9.569502,0.731491
saxpy,f32,390892,11,0,0,9.202835,0.760635
saxpy,f32,390892,12,0,0,9.328346,0.750401
saxpy,f32,390892,13,0,0,9.025931,0.775543
saxpy,f32,390892,14,0,0,9.608195,0.728545
saxpy,f32,390892,15,0,0,9.226838,0.758656
saxpy,f32,390892,16,0,0,9.063812,0.772302
saxpy,f32,390892,17,0,0,8.596389,0.814295
saxpy,f32,390892,18,0,0,8.478089,0.825658
saxpy,f32,390892,19,0,0,9.641730,0.726011
saxpy,f32,544578,0,0,0,5.822496,1.202233
saxpy,f32,544578,1,0,0,8.589064,0.814990
saxpy,f32,544578,2,0,0,8.329538,0.840383
saxpy,f32,544578,3,0,0,9.578335,0.730816
saxpy,f32,544578,4,0,0,9.491773,0.737481
saxpy,f32,544578,5,0,0,8.090881,0.865172
saxpy,f32,544578,6,0,0,9.559671,0.732243
saxpy,f32,544578,7,0,0,9.482435,0.738207
saxpy,f32,544578,8,0,0,6.601102,1.060429
saxpy,f32,544578,9,0,0,8.408180,0.832523
saxpy,f32,544578,10,0,0,9.592338,0.729749
saxpy,f32,544578,11,0,0,6.260451,1.118130
saxpy,f32,544578,12,0,0,8.637562,0.810414
saxpy,f32,544578,13,0,0,8.763564,0.798762
saxpy,f32,544578,14,0,0,8.792428,0.796140
saxpy,f32,544578,15,0,0,9.569834,0.731465
saxpy,f32,544578,16,0,0,6.777104,1.032890
saxpy,f32,544578,17,0,0,8.881258,0.788177
saxpy,f32,544578,18,0,0,9.486895,0.737860
saxpy,f32,544578,19,0,0,9.212854,0.759808
saxpy,f32,758688,0,0,0,7.681469,0.911284
saxpy,f32,758688,1,0,0,9.735420,0.719024
saxpy,f32,758688,2,0,0,9.737544,0.718867
saxpy,f32,758688,3,0,0,9.396660,0.744946
saxpy,f32,758688,4,0,0,8.421105,0.831245
saxpy,f32,758688,5,0,0,8.902473,0.786298
saxpy,f32,758688,6,0,0,9.204846,0.760469
saxpy,f32,758688,7,0,0,9.410179,0.743875
saxpy,f32,758688,8,0,0,6.947497,1.007557
saxpy,f32,758688,9,0,0,7.939379,0.881681
saxpy,f32,758688,10,0,0,9.141406,0.765747
saxpy,f32,758688,11,0,0,9.207974,0.760211
saxpy,f32,758688,12,0,0,9.003738,0.777455
saxpy,f32,758688,13,0,0,9.486068,0.737924
saxpy,f32,758688,14,0,0,9.494794,0.737246
saxpy,f32,758688,15,0,0,9.445560,0.741089
saxpy,f32,758688,16,0,0,9.437453,0.741726
saxpy,f32,758688,17,0,0,9.745925,0.718249
saxpy,f32,758688,18,0,0,9.806771,0.713793
saxpy,f32,758688,19,0,0,9.666208,0.724172
saxpy,f32,1056978,0,0,0,5.159806,1.356640
saxpy,f32,1056978,1,0,0,8.153641,0.858512
saxpy,f32,1056978,2,0,0,6.188685,1.131096
saxpy,f32,1056978,3,0,0,8.812030,0.794369
saxpy,f32,1056978,4,0,0,9.432025,0.742152
saxpy,f32,1056978,5,0,0,9.487777,0.737791
saxpy,f32,1056978,6,0,0,9.393216,0.745219
saxpy,f32,1056978,7,0,0,9.548545,0.733096
saxpy,f32,1056978,8,0,0,8.996961,0.778040
saxpy,f32,1056978,9,0,0,9.102842,0.768991
saxpy,f32,1056978,10,0,0,9.482244,0.738222
saxpy,f32,1056978,11,0,0,9.630148,0.726884
saxpy,f32,1056978,12,0,0,9.642316,0.725967
saxpy,f32,1056978,13,0,0,8.657924,0.808508
saxpy,f32,1056978,14,0,0,8.492058,0.824300
saxpy,f32,1056978,15,0,0,8.664134,0.807928
saxpy,f32,1056978,16,0,0,8.822180,0.793455
saxpy,f32,1056978,17,0,0,9.431309,0.742209
saxpy,f32,1056978,18,0,0,9.386626,0.745742
saxpy,f32,1056978,19,0,0,9.480671,0.738344
saxpy,f32,1472547,0,0,0,4.010076,1.745603
saxpy,f32,1472547,1,0,0,8.639241,0.810256
saxpy,f32,1472547,2,0,0,9.436761,0.741780
saxpy,f32,1472547,3,0,0,8.790950,0.796273
saxpy,f32,1472547,4,0,0,8.458021,0.827617
saxpy,f32,1472547,5,0,0,9.411129,0.743800
saxpy,f32,1472547,6,0,0,9.499495,0.736881
saxpy,f32,1472547,7,0,0,8.438005,0.829580
saxpy,f32,1472547,8,0,0,9.193784,0.761384
saxpy,f32,1472547,9,0,0,8.300803,0.843292
saxpy,f32,1472547,10,0,0,8.752857,0.799739
saxpy,f32,1472547,11,0,0,7.690058,0.910266
saxpy,f32,1472547,12,0,0,8.560043,0.817753
saxpy,f32,1472547,13,0,0,9.085777,0.770435
saxpy,f32,1472547,14,0,0,9.470049,0.739173
saxpy,f32,1472547,15,0,0,9.507929,0.736228
saxpy,f32,1472547,16,0,0,9.379867,0.746279
saxpy,f32,1472547,17,0,0,9.416034,0.743413
saxpy,f32,1472547,18,0,0,7.805663,0.896785
saxpy,f32,1472547,19,0,0,7.970177,0.878274
saxpy,f32,2051504,0,0,0,5.556485,1.259789
saxpy,f32,2051504,1,0,0,7.746286,0.903659
saxpy,f32,2051504,2,0,0,8.152175,0.858667
saxpy,f32,2051504,3,0,0,7.832840,0.893673
saxpy,f32,2051504,4,0,0,7.536846,0.928770
saxpy,f32,2051504,5,0,0,8.050935,0.869464
saxpy,f32,2051504,6,0,0,8.395996,0.833731
saxpy,f32,2051504,7,0,0,8.498495,0.823675
saxpy,f32,2051504,8,0,0,8.372165,0.836104
saxpy,f32,2051504,9,0,0,6.192182,1.130458
saxpy,f32,2051504,10,0,0,6.084994,1.150371
saxpy,f32,2051504,11,0,0,7.050749,0.992802
saxpy,f32,2051504,12,0,0,7.208235,0.971111
saxpy,f32,2051504,13,0,0,7.786049,0.899044
saxpy,f32,2051504,14,0,0,7.677753,0.911725
saxpy,f32,2051504,15,0,0,7.326353,0.955455
saxpy,f32,2051504,16,0,0,7.097768,0.986225
saxpy,f32,2051504,17,0,0,7.408275,0.944889
saxpy,f32,2051504,18,0,0,7.352202,0.952096
saxpy,f32,2051504,19,0,0,7.605315,0.920409
saxpy,f32,2858088,0,0,0,5.274763,1.327074
saxpy,f32,2858088,1,0,0,6.435453,1.087724
saxpy,f32,2858088,2,0,0,6.821244,1.026206
saxpy,f32,2858088,3,0,0,6.941748,1.008392
saxpy,f32,2858088,4,0,0,7.000124,0.999982
saxpy,f32,2858088,5,0,0,5.999074,1.166847
saxpy,f32,2858088,6,0,0,4.364504,1.603848
saxpy,f32,2858088,7,0,0,4.874847,1.435943
saxpy,f32,2858088,8,0,0,4.737406,1.477602
saxpy,f32,2858088,9,0,0,5.023214,1.393530
saxpy,f32,2858088,10,0,0,5.486606,1.275834
saxpy,f32,2858088,11,0,0,5.442469,1.286181
saxpy,f32,2858088,12,0,0,4.271641,1.638714
saxpy,f32,2858088,13,0,0,4.126587,1.696317
saxpy,f32,2858088,14,0,0,5.008027,1.397756
saxpy,f32,2858088,15,0,0,5.288242,1.323691
saxpy,f32,2858088,16,0,0,5.482633,1.276759
saxpy,f32,2858088,17,0,0,5.546832,1.261982
saxpy,f32,2858088,18,0,0,5.321453,1.315430
saxpy,f32,2858088,19,0,0,4.309328,1.624383
saxpy,f32,3981793,0,0,0,4.396796,1.592068
saxpy,f32,3981793,1,0,0,4.763287,1.469573
saxpy,f32,3981793,2,0,0,4.548747,1.538885
saxpy,f32,3981793,3,0,0,5.004095,1.398854
saxpy,f32,3981793,4,0,0,5.636724,1.241856
saxpy,f32,3981793,5,0,0,5.626386,1.244138
saxpy,f32,3981793,6,0,0,5.759163,1.215454
saxpy,f32,3981793,7,0,0,5.484787,1.276257
saxpy,f32,3981793,8,0,0,5.569787,1.256781
saxpy,f32,3981793,9,0,0,5.740283,1.219452
saxpy,f32,3981793,10,0,0,5.541949,1.263094
